biweek,level1,level2,level3,level4,level5
W1-2,0,0,22,56,22
W3-4,0,17,33,50,0
W5-6,0,0,50,43,7
W7-8,0,12.5,62.5,25,0
W9-10,0,0,100,0,0
W11-12,0,0,11,56,33
W13-14,0,0,25,37.5,37.5
W15-16,0,0,34,33,33
