biweek,level1,level2,level3,level4,level5
W1-2,0,7,14,72,7
W3-4,0,0,29,57,14
W5-6,0,0,56,19,25
W7-8,0,10,60,30,0
W9-10,0,0,50,40,10
W11-12,0,0,42,16,42
W13-14,0,0,28,36,36
W15-16,0,0,25,42,33
