biweek,level1,level2,level3,level4,level5
W1-2,0,0,38,46,16
W3-4,0,0,67,22,11
W5-6,0,8.5,83,0,8.5
W7-8,0,9.5,45,36,9.5
W9-10,0,0,54,15,31
W11-12,0,9,36,46,9
W13-14,0,0,64,22,14
W15-16,0,0,54,31,15
